0,157
1,157
2,157
3,157
4,156
5,157
6,156
7,157
8,156
9,157
10,157
11,156
12,156
13,156
14,156
15,157
16,157
17,156
18,156
19,156
20,156
21,155
22,156
23,156
24,156
25,156
26,156
27,156
28,156
29,155
30,155
31,156
32,155
33,155
34,155
35,155
36,155
37,155
38,154
39,155
40,154
41,154
42,154
43,155
44,155
45,154
46,154
47,155
48,155
49,154
50,154
51,154
52,154
53,153
54,153
55,153
56,154
57,154
58,154
59,153
60,153
61,153
62,153
63,153
64,153
65,153
66,153
67,153
68,152
69,152
70,152
71,152
72,152
73,152
74,152
75,152
76,151
77,151
78,151
79,150
80,151
81,150
82,150
83,151
84,150
85,150
86,150
87,149
88,149
89,150
90,150
91,150
92,149
93,149
94,149
95,149
96,149
97,148
98,149
99,148
100,148
101,147
102,148
103,147
104,147
105,147
106,147
107,147
108,147
109,147
110,146
111,146
112,147
113,146
114,146
115,145
116,145
117,146
118,145
119,144
120,144
121,145
122,144
123,144
124,144
125,143
126,143
127,143
128,142
129,142
130,142
131,142
132,141
133,141
134,141
135,140
136,140
137,140
138,140
139,139
140,139
141,139
142,138
143,138
144,138
145,138
146,137
147,137
148,136
149,136
150,137
151,136
152,135
153,135
154,135
155,135
156,134
157,134
158,133
159,132
160,133
161,132
162,131
163,131
164,131
165,129
166,130
167,129
168,129
169,129
170,128
171,128
172,126
173,126
174,125
175,125
176,125
177,124
178,123
179,123
180,123
181,122
182,121
183,120
184,120
185,117
186,118
187,118
188,116
189,116
190,115
191,114
192,113
193,113
194,111
195,111
196,110
197,108
198,109
199,107
200,105
201,103
202,103
203,103
204,101
205,100
206,98
207,98
208,96
209,94
210,93
211,91
212,90
213,90
214,87
215,85
216,83
217,81
218,80
219,78
220,76
221,74
222,73
223,72
224,68
225,65
226,63
227,61
228,57
229,54
230,54
231,49
232,47
233,44
234,40
235,38
236,36
237,31
238,28
239,-29
240,-37
241,-46
242,-123
243,67
244,-40
245,29
246,35
247,-86
248,31
249,43
250,-1
251,-1
252,0
